,video_id,comments
33,gndhM8H1FEA,"['opah udah tua masih cantik bgt', 'Udah tua ya', 'Aduh upahcantik', '15', '💖💖💖💖💖 opah cantik banget coba kak ros upin ipin dan tok dalang dong 💖💖💖💖💖💖', 'Waw opah emang palin debes', 'Kalau aku sih mau masuk 18 tahun sih umurku', '😮😮😮 sudah tua tapi masih cantik🎉🎉😊😊😊🎉🎉🎉', '10', 'halo upin ipin saya dari indonesia semoga panjang umur dan di berkahi tuhan dan sehat selalau ❤️']"
34,iAD_Tw2cB9M,"['me:13', 'Good Luck kak ros Spm', 'Lepas tu abang saya sama Umur dengan kak ros', 'Kalau saya umur 7', 'Fr', 'Wyyuy', 'kk17', '9', '17 tahunkan', 'umur Upin Ipin']"
35,6vMRHVqw3IM,"['Duronto TV PSI True visions ideasat KSTV Dynasat ipm topten Digital TV AIS PLAY LITE RCTIBOX HD ABS CBN tv Plus VisionPlus', 'Maasranga TV HD PSI GMMZ Cth VTVCAB VTC Digital SITI DIGITAL FPT AIS PLAY GIGA TV TOT IPTV true ID AIS PLAY LITE RCTIBOX HD (45/2268/357/178/237/45/2589/HD)', 'Aakash Aath PSI GMMZ Cth VTVCAB VTC Digital Astro Ultrabox AIS PLAY LITE RCTIBOX HD', 'Duronto TV Gortsakal 044/Full Movie/Movie Duronto TV', 'Duronto TV HD Khusus COVID-19 Diduk Di Rumah 1-3 Meter Kanal Digital UHD TV Hang Meas Play UHD TV Hang Meas CINE UHD TV D.O.G.S', '5 янв. 2023', 'Tunggu nih di indo', 'sxオカ', 'ｉｎｄｏｆｏｏｄｉｃｅｃｒｅａｍイレトオ゙メウウト゚アイスカレ゚マ゚ｋｕｌｋｕｌクウ゚マクウ゚ミｈａｗａｉｉａｂｐｉｎｅａｐｐｌｅ', 'ｃｈｏｋｉｃｈｉｐｓマ゙キ゚ミイ゚ホス゚']"
36,i-eAWVE6tsg,"['Oh my god i Love this Upin Upin move And seing A Orkestra doing saund Track makes me happy :D', '23:26', 'Terbaik👍🏼😊', 'Salam dari indonesia saya fans PSG🙏', 'assalamualaikum boleh saye tanye betul ker upin ipin dari kisah benar kerane saye selalu nmpk orang indonesia mempost cerita upin ipin yang bukan - bukan maaf jika ada silap saye', '.', 'Coba buat episode upin ipin main lato lato', 'Konsernye cantik saye pecinta upin&ipin saye suka sangat upin ipin salam dari 🇮🇩❤🇲🇾', 'great job upin and ipin', 'Munculkan karakter apin']"
37,Qtc4yuY3L84,"[""Selamat Les' Copaque Production atas semua penghargaan yang didapatkan 🤩🎉 Semoga Les' Copaque Selalu Berjaya dalam mengembangkan seri Upin Ipin"", 'five channel HD mv lao HD mv khmer HD muudtayluu mvbox app (ch 113/ch.114/ch.115/ch.116)', 'FreeviewSat HD MéKiko StarTV TOT Iptv Mooteloo (Ch 116),', 'FULL YERE1 TV3 HD', 'FULL YEREONE 5', 'FULL YEREONE/Armenia TV HD/Seria 36', 'min, belalang kmn, g mncl² kgn kegtganny', 'Tolong hilangkan adegan kak Ros memukul Upin dan Ipin.\n\nMeskipun tidak secara langsung ditampilkan, tapi itu tetap tidak baik. \n\nTolong dihapus.\nSebaiknya sisipkan materi parenting yang baik dan benar dalam setiap adegan, khususnya yang dilakukan kak Ros, Jangan kasar, memukul, apalagi membentak. Sangat tidak cocok untuk anak-anak.', 'Tahniah. Saya dari indonesia nak ucapkan tahniah, saya nak les copaque collaboration with md entertainment 🇮🇩', 'Itu faerl']"
38,SitG-xAwrhk,"[""Really lovely animation studio,wishing to see more of les'copaque future projects such as dongeng sang kancil, puteri,upin ipin and more💕💕💕"", 'Hi saya dari Indonesia sy emng sudah kls 5 tapi sy masih suka upin&ipin apa lagi kalo episode yg baru 😊', '4', ""Let's qopaque bile  Ultraman ribut nak muncul lagi kat upin Dan ipin"", '23 дек. 2022', 'Salam dari indonesia\nTerimakasih sudah menghibur kami waktu kecil', ""Salam saya dari Indonesia,Les Copaque! Saya Sekeluarga PENGEMAR BERAT UPIN & IPIN Semangat Membuat Cerita Upin & Ipin Les' Copaque!!"", 'Xd', ""I'llhave Indonesia 🇮🇩"", 'Min kembaliin Upin Ipin yang dulu karna mereka op']"
39,_HfZU6yovkY,"['😭😭', 'Ffcucs', 'Susanti  pergi Indon esia', 'Sabar ya mei mei kan ada mail...mail bisa hibur kamu kok😅gak usah sedih ya💞🌷', '😭😭😭😭😭😭😭🤫😭😭😭😭', '990', 'Aku senada ne aku page 👍👍👍👍❤️❤️❤️❤️👏👏👏👏🥺🥺🥺🥺🥺😭😭😭😭', '👏👏👏👏🥺🥺🥺🥺😭😭😭😭😭😭😭😭😭😭😭👍👍👍', 'Kesiyangn  susati😭😭😭😭😭😭😭😭😭😭😭😭😭💗💗💗💗💗💗💗💗💗💗😭😭😭😭🙏🙏', 'Kasian susanti']"
40,uXEUBaggvfc,"['Lucu tu', 'Bhggdgg🤣🤣🤣🤣🤣🤣🤣🤣🤣', 'opah masih bisa balik kan. lho😂', 'Opah blushing', 'Sedap nye tuuuuuuuu atok', 'woww opah blushing lah', 'Opah macam suka tok dalang je 🤣🤣🤣🤣', '😠🤐😠🤮😔😤', 'Cinta segi tige 😱😱😱', 'I love I.K Ranggi']"
41,8VVSAalY2s0,"['Ada mana ni', 'I like it', 'Wow so cool', 'Tak bagus wkkwwk', '🙃🙃🙃🙃🙃🙃', 'Bfhffjfh', '😴', 'ASYIFAA UMAIRAH BINTI SUHAIRI', 'Kaka tokonya dimana nya saya mau beli', 'Gtvui']"
42,g4TKGKSR7qo,"['Episode upinipin kunjung Indonesia pliissss 🥲', '😭😔', 'Abang salih tak adekeh?!', 'Upin Ipin bila nk buat 1movie dgan BoBoiBoy buat movie Alien dtg Kampung Durian Runtuh.. Lps Ejen Ali tlg BoBoiBoy dgan Amato tlg uihh', 'Masya allah', 'Semangat les cipaque', 'Asslamualaikum les qo paque saya Teringin nak tengok episod ijat nak sunat sebab upin ipin 2011 jarjit cakap tahun DEPAN ijat sunat tapi sampai skarang tak sunat🤣🤣🤣🤣', 'kenapa trailer je dalam youtube', 'minta tolong uplod video dalam youtube', 'Tak na nonton upin ipin dah pergi susanti..']"
